metadataAddress,mintAddress,updateAuthorityAddress,editionNonce,tokenStandard,name,symbol,uri
71F9eUbW2omP5YJRZMQbuF7SgauU5V4SMsffrLJPPuqx,Fn1ViEf86ruZNTp8kRHJ1s8N3mzYdS6k8mWbB3Fgxi9d,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,252,NonFungible,Sneaker #745694397,,https://api.stepn.com/run/nftjson/103/161010989203
CmmCEMByqZMyXHCzfjXv8uf7qi3tp5hhFEw5DZUCVy3H,c4x7okhBz7vZWYHBZN3HxdkvqdUk5miK3j6Lk6tqDiB,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #439553794,,https://api.stepn.com/run/nftjson/103/56649492413
AtUg78zps1ZLc963QSuSEa5Zoy6SrvxF2mQoRvWX3xTN,CibesWiopv5NDnYjT84SL8yyXx47y2GsFD4DDvDJuwpS,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #895199956,,https://api.stepn.com/run/nftjson/103/148172792569
2S9tAhLU6Jq9oXayfuM4oU2a1MKT4rnkqvKNwCAMUr2p,CqCRXMbDBCCRa72oWw9YyL4Qu1gJa5QbB5HCzwhiAG2G,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #190827479,,https://api.stepn.com/run/nftjson/103/76902890857
5t5CeVsBDy7hKWRS1buUgdTSbBkBpJjE55zpDPkdzBj2,7RAc2cfhoThHTXsk1uPPqqSK2Fx4fGSuYpRD9v2svPWc,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #849404894,,https://api.stepn.com/run/nftjson/103/140730379349
Gai7RYAmcfLnLp474NHySGV45Bb9Bzq2MSvrk2kjHW7B,EJVtV6Ntm1wrQt1gHjjyxvRwf45xPwWMMkh7ewBDhrZX,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #507852712,,https://api.stepn.com/run/nftjson/103/131189540817
56AosRWQaw6nzzUEAeFNn4Q7ssCTynw1HWCY6KZhmT7Y,2n5rJjXLWkgMVajg9UzYa4X5wQtbnLzoFjeJWtKPfEBY,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #345642006,,https://api.stepn.com/run/nftjson/103/182883788973
7bsrevGNueW1yhmSCaKvtqSwzo2yxTv22zcz8R37D3Hf,GDzqvXZDeFD4oocBV8wDb2rwR7gWMtLrfYa2T1MHvhwz,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #465938928,,https://api.stepn.io/run/nftjson/103/421677761
71c4gePjM7GUf2sYdjKCEhX2Vcz3s9XjP7wfHpzUjFWx,D7sBWAupZ7K3BXBShX7j3cxxAdBGBNDJb3L1rRjtWp9P,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #878390278,,https://api.stepn.com/run/nftjson/103/194771269917
EwPEpGhnhqZojK67NbqJCsdLwhzwYjoCtipY6BApHMtH,FNVwUepUexm3VRFhH6qZtrvrmUDUxzbiSfHidR9RtXSj,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,,Sneaker #1003,,https://api.stepn.io/run/nftjson/103/328389793
5h5RXnmNMY52Eo969mZj2NAtLrD2v2Ft3tw6v1WDNvmf,2KSKLqdKuceANQhUEu7PFxSeNy6WbUnaZr9G9SS7Wk5K,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #299843179,,https://api.stepn.com/run/nftjson/103/113469845825
2kVqSVmDdLDTVqimNE3Wbg6K3KmUwgYGmgcMvC9p1Qf9,73wpZtMdPvTUL4r41G8AztbgoY2zoZjt9bypJK9BBP3V,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,250,NonFungible,Sneaker #436436497,,https://api.stepn.com/run/nftjson/103/121721907423
CSnQbWSA1mMBz5gBP59rM3bpVEfnrBJRmnUZSh4Mp3DQ,GXHjnAEeWydSoxEQDR6pdjmgLynWbQmSiKvkkuVkpa4V,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #535186910,,https://api.stepn.io/run/nftjson/103/70031797067
HdiNJzZqci43rFeosBP4WrxFu5XBrrN6ew7xW5zEeDGk,D6YcdjDCWY91r8wHxSqfPxcXDTpzCrRJF2f3yqZyikVM,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #340384576,,https://api.stepn.io/run/nftjson/103/340383313
FK41vh7ozgx7qDrHJGBhafVzGSjJryvbySi9DQ1FxjJ6,US2kqikibrVPFvxDABp1V31FKhNNgi6HwZrJUhtt8Zb,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #796796168,,https://api.stepn.com/run/nftjson/103/194857077677
Hs9oFsuVqCtMxUopPj9tcwtumaYD1nfUiwHzGwY9jKLv,41z2pk9NbigGqrLzQFxF1aC1wVi2TxNkW5YzGjotsgwX,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #5698,,https://api.stepn.io/run/nftjson/103/274775489
FhsrBgYFAH1GPHS3UceZdYZt6Nr8PSBR5m87GLupfoot,E5n2KYQkcmaZm5nJ1Rb8ziVHCyRNz7joFgnbSHmQySKz,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #285304281,,https://api.stepn.com/run/nftjson/103/83059351537
Fp2rHi5hu6HBYoebYnEF9PrkdMuXB99BkhTP6vZFJMqo,72HpsTNuEFeuDmV47mwJ2n1Tkg3rnUSXuoseFuUDhYhb,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #815553344,,https://api.stepn.io/run/nftjson/103/180889365717
CKuHAksHD2Eo6NEwfhR6pMBkDb8WJ3TkSEmXFJCehn2q,8hL1ELnBwFm6Hs2dycZDHfV6nrqUS71MA9hTKTnpGyDv,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,252,NonFungible,Sneaker #922660382,,https://api.stepn.com/run/nftjson/103/45928937033
Ht1jBxpVaLdTEdkHmGfgSsGEGtnzD3e4TX4jZ26FgrCN,EbrqgGaeoFK3isuj5yg93znSvvFbKguHm97p6vCqsPWA,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #443861723,,https://api.stepn.com/run/nftjson/103/181791893939
5hvo4978CDHigoC4jJRBzUDUtmSMmNqVc4mnVf1Zg5BY,EfkFfd4Hzj7mgwztiL3rSzEwjvxxXbLrxiLcCE8vmVYH,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #858765068,,https://api.stepn.com/run/nftjson/103/195498826263
ELBB2swgERfqSxPf5ecn6cQaCuuNxebnw12bSvME5AQq,AY2uHTe6RwnxqHTfnx4WSfJ7kg91JQ9LfrC7mgxuxh8x,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #892798430,,https://api.stepn.com/run/nftjson/103/72738067413
